category,item_name,sub_item,barcode,qty_per_sale,packets,units_per_packet,unit,opening stock,cost_price,selling_price
BEVARGES,water 1/2 liter,water,BEVARGES,1,,24,pc,,,10
BEVARGES,cool drinks glass,cool drinks,BEVARGES,1,,24,pc,,,15
BEVARGES,pepsi 300 ml,pepsi,BEVARGES,1,,24,pc,,,20
BURGERS,star burger,Crispy Chicken Patty,COMBO,1,,20,pc,0,,60
BURGERS,Hot Crispy burger,Hot Crispy Patty,COMBO,1,,5,pc,0,,110
BURGERS,Paneer Delight burger,Paneer Patty,COMBO,1,,14,pc,0,,90
BURGERS,Tandoori Burger Bun,Tandoori Patty,COMBO,1,,13,pc,0,,95
BURGERS,Hungery bird burger,Whole Muscle Patty,COMBO,1,,13,pc,0,,100
BURGERS,Veg Burger,Veg Patty,COMBO,1,,13,pc,0,,65
BURGERS,smokey burger,smokey burger,COMBO,1,,10,pc,,,129
FRIED ITEMS,mirchi bites,mirchi bites,FRIED ITEM,8,,40,pc,,,109
FRIED ITEMS,saucy bites,boneless bites,FRIED ITEM,2,,10,pc,,,99
FRIED ITEMS,chicken lollipops,chicken lollipops,FRIED ITEM,5,,30,pc,,,129
FRIED ITEMS,Mini Bucket,Thai Crispy,FRIED ITEM,5,,10,pc,,,385
FRIED ITEMS,Big Buckets,Thai Crispy,FRIED ITEM,10,,10,pc,,,765
FRIED ITEMS,Mini Bucket,Crunchy Masala,FRIED ITEM,5,,10,pc,,,385
FRIED ITEMS,Big Buckets,Crunchy Masala,FRIED ITEM,10,,10,pc,,,765
FRIED ITEMS,Mini Bucket,Chilli Burst,FRIED ITEM,5,,10,pc,,,385
FRIED ITEMS,Big Buckets,Chilli Burst,FRIED ITEM,10,,10,pc,,,765
FRIED ITEMS,Chicken Popcorn,Chicken Popcorn,FRIED ITEM,80,,550,g,0,,75
FRIED ITEMS,Chicken popcorn large,Chicken Popcorn,FRIED ITEM,130,,550,g,0,,129
FRIED ITEMS,Chicken Strips,chicken strips,FRIED ITEM,3,,27,pc,0,,109
FRIED ITEMS,Chilli Burst,Chilli Burst,FRIED ITEM,1,,10,pc,0,,80
FRIED ITEMS,Crunchy Masala,Crunchy Masala,FRIED ITEM,1,,10,pc,,,80
FRIED ITEMS,Krusty Bites,chicken 65,FRIED ITEM,1,,90,pc,0,,90
FRIED ITEMS,Peri Peri Chwings,Peri Peri Chwings,FRIED ITEM,5,,30,pc,0,,129
FRIED ITEMS,Thai Crispy,Thai Crispy,FRIED ITEM,1,,10,pc,0,,80
ROLLS,Tandoori roll,chicken 65,COMBO,1,,5,pc,0,,85
ROLLS,Panner roll,panner patty,COMBO,1,,14,pc,0,,90
ROLLS,Chicken roll,chicken finger,COMBO,2,,39,pc,0,,75
ROLLS,Krisper roll,chicken strips,COMBO,1.5,,,pc,0,,105
ROLLS,Veg roll,veg finger,COMBO,2,,33,pc,0,,
SAUCES,Paratha Sauce,Paratha Sauce,SAUCE/DRY STOCK,1,,,pc,0,,
SAUCES,Tandoori Mayonnaise,Tandoori Mayonnaise,SAUCE/DRY STOCK,1,,,pc,0,,
SAUCES,BBQ Seasoning,BBQ Seasoning,SAUCE/DRY STOCK,1,,,pc,0,,
SAUCES,CP Marinade,CP Marinade,SAUCE/DRY STOCK,1,,,pc,0,,
SAUCES,Eggless Mayonnaise,Eggless Mayonnaise,SAUCE/DRY STOCK,1,,,pc,0,,
SAUCES,PACKING COVER,PACKING COVER,SAUCE/DRY STOCK,1,,,pc,0,,
SAUCES,SNACK BOX,SNACK BOX,SAUCE/DRY STOCK,1,,,pc,0,,
SNACKS,French Fries,Masala Fries,SNACKS,70,,2500,g,0,,50
SNACKS,Chicken 65,chicken 65,SNACKS,8,,90,pc,0,,85
SNACKS,Chicken Cheese Shotz,Cheese Shots,SNACKS,6,,50,pc,0,,99
SNACKS,Chicken Fingers,chicken finger,SNACKS,3,,39,pc,0,,60
SNACKS,Chicken Momos,Chicken Momos,SNACKS,4,,40,pc,0,,
SNACKS,Chicken Nuggets,Chicken Nuggets,SNACKS,4,,60,pc,0,,55
SNACKS,Pizza Pocket,Pizza Pocket,SNACKS,4,,28,pc,0,,59
SNACKS,Veg Finger,veg finger,SNACKS,3,,33,pc,0,,55
SNACKS,masala fries Large,Masala Fries,SNACKS,150,,2500,g,0,,99
STOCK,Burger Bun With Sesame,Bun,STOCK,1,,6,pc,0,,
STOCK,Paratha,Paratha,STOCK,1,,1,pc,0,,
